"","quinze","Freq"
"1","Arouca",6044
"2","Belenenses",534
"3","Chaves",4
"4","Estoril",1909
"5","Moreirense",674
"6","Pacos Ferreira",410
"7","Setubal",283
"8","Tondela",142
