"","nono","Freq"
"1","Belenenses",342
"2","Boavista",4096
"3","Chaves",1997
"4","Estoril",200
"5","Feirense",2120
"6","Pacos Ferreira",336
"7","Rio Ave",6
"8","Setubal",903
