"","decimo","Freq"
"1","Arouca",21
"2","Belenenses",1008
"3","Boavista",2602
"4","Chaves",3239
"5","Estoril",749
"6","Feirense",155
"7","Pacos Ferreira",958
"8","Setubal",1268
