"","treze","Freq"
"1","Arouca",938
"2","Belenenses",2103
"3","Boavista",27
"4","Chaves",791
"5","Estoril",2037
"6","Moreirense",23
"7","Pacos Ferreira",2134
"8","Setubal",1947
