Original,Club
Arouca,Arouca
Belenenses,Belenenses
Benfica,Benfica
Boavista,Boavista
Chaves,Chaves
Estoril,Estoril
Feirense,Feirense
Guimaraes,Guimaraes
Maritimo,Maritimo
Moreirense,Moreirense
Nacional,Nacional
Pacos Ferreira,Pacos Ferreira
Porto,Porto
Rio Ave,Rio Ave
Setubal,Setubal
Sp Braga,Braga
Sp Lisbon,Sporting
Tondela,Tondela
